actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Joyce Tang,Maggie Cheung,Hong Kong,"May  5, 2003 - May 30, 2003",20,Romance,TVB Jade ,7.4,0,,Ups and Downs in the Sea of Love,52,90
Karasawa Toshiaki,Takahashi Katsumi,Japan,"Jan 26, 2013 - Feb  9, 2013",3,"Business,  Drama",NHK,7.5,0,,Made in Japan,36,90
Chen Guan Tai,Bryan Leung,Hong Kong,"Mar 22, 1982 - Apr 30, 1982",50,"Action,  Adventure,  Romance,  Wuxia,  Tragedy",TVB Jade ,7.5,0,"Jin Yong, Song Dynasty, Adapted From A Novel",Demi-Gods and Semi-Devils,35,86
Roger Kwok,Ron Ng,Hong Kong,"Jul 14, 2014 - Aug 23, 2014",30,Drama,TVB Jade ,7.4,1,,Black Heart White Soul,116,266
Kurokawa Tomoka,Sawamura Ikki,Japan,"Apr 15, 2005 - Jun 17, 2005",10,"Horror,  Family,  Fantasy",TV Asahi,7.4,1,Single Parent,Ame to Yume no Ato ni,120,306
Karasawa Toshiaki,Kiki Kirin,Japan,"Oct  8, 1995 - Dec 24, 1995",12,"Business,  Romance,  Drama,  Family",TBS,9.3,0,,Kagayake! Rintaro,2,4
Uchiyama Rina,Oshinari Shugo,Japan,"Nov 10, 2017 - Dec 22, 2017",7,"Business,  Life,  Drama,  Family",NHK,9.3,0,,Machikouba no Onna,4,74
Kwan Usamanee Vaithayanon,Pae Arak Amornsupasiri,Thailand,"May 26, 2017 - Jun 30, 2017",16,"Romance,  Drama,  Tragedy",Channel 7,9.3,0,,Maya,3,106
Tik Jesadaporn Pholdee,Krit Shahkrit Yamnam,Thailand,"Mar 17, 2018 - May 26, 2018",20,"Action,  Comedy,  Romance,  Drama,  Fantasy",Workpoint TV,9.3,0,,Koo See Pee Meu Bprab,3,42
Yang Jung Won,Lee Seung Hyub,South Korea,"Aug 30, 2017",5,"Romance,  Life",Naver TV Cast,9.3,0,Miniseries,All the Love in the World: Season 3,3,68
Baitoei Zuvapit Traipornworakit,Patchai Pakdesusuk,Thailand,"Oct 16, 2015 - Nov  6, 2015",4,,GMM 25,7.7,0,,Ting Wai Klang Tarng,16,54
Domoto Tsuyoshi,Takeuchi Yuko,Japan,"Oct  7, 2001 - Dec 16, 2001",11,"School,  Drama",TBS,7.7,0,"Kinki Kids, Idol Actor",School Teachers,19,64
Yoon Tae Young,Wang Bit Na,South Korea,"Oct 15, 2011 - Dec 17, 2011",10,"Mystery,  Medical",MBC,7.7,1,,Late Night Hospital,18,309
Suzuki Kyoka,Fukatsu Eri,Japan,"Jan 13, 1998 - Mar 17, 1998",10,"Medical,  Investigation",Fuji TV,7.7,0,Forensics,Kira Kira Hikaru,17,54
Tamayama Tetsuji,Tsuruta Mayu,Japan,"Nov 16, 2008 - Dec 14, 2008",5,"Suspense,  Drama",WOWOW,7.4,1,"Prisoner, Prison Escape, Based On True Story, Prison",Prisoner,126,307
Bobby Dou,Huang Pei Jia,Taiwan,"Apr 14, 2015 - Jul 22, 2015",72,"Friendship,  Romance,  Life,  Drama,  Family",SET TV,7.3,3,"Sibling, Multiple Couples, Childhood Friends, Unrequited Love, Love Triangle",Be With You,215,813
Kim Dong Wan,Han Soo Yeon,South Korea,"Apr  9, 2019 - Jul  2, 2019",12,"Business,  Comedy,  Life,  Drama",KBS2,7.4,0,"Office Worker, Workplace",I Hate Going to Work,49,429
Sung Hoon,Han Bo Reum,South Korea,"Jul 10, 2019 - Aug 15, 2019",12,"Business,  Comedy,  Romance","MBN, DramaX, Viki",7.3,11,"Accidental Kiss, Company Ceo, Game Programmer, Competent Protagonist, Competent Boss, Game Developer, Smart Male Lead, Eccentric Male Lead, Boss/Employee Relationship, Cold Man/Warm Woman",Level Up,1626,4492
Mizuki Ichiro,Seki Tomokazu,Japan,"Jan 12, 1999 - Mar 30, 1999",12,"Tokusatsu,  Comedy",,7.7,0,,Voicelugger,14,45
Michelle Ye,Liu En  You,China,"Feb 12, 2013 - Feb 25, 2013",36,"Action,  Romance",BTV,7.7,2,,Athena,15,159
Higa Manami,Mitsushima Shinnosuke,Japan,"Apr  2, 2015 - Jun 18, 2015",12,,NTV,7.5,1,Adapted From A Novel,Renai Jidai,49,261
Nishijima Hidetoshi,Kagawa Teruyuki ,Japan,"Jan 18, 2015 - Mar 22, 2015",10,"Life,  Drama,  Family,  Fantasy,  Melodrama",TBS,7.4,0,"Shigematsu Kiyoshi, Adapted From A Novel, Flashback To Past, Nostalgia, Time Travel",Ryuusei Wagon,57,199
Tao Sattaphong Phiangphor,Aokbab Chutimon Chuengcharoensukying,Thailand,"Nov 15, 2017 - Nov 25, 2017",4,"Friendship,  Romance,  School,  Drama",GMM 25,7.4,1,"Film Within A Film, Film Crew, Playboy Male Lead, Steamy Kiss, Miniseries, Infidelity, Love Books Love Series, Sismance, Actor, Love–Hate Relationship",Love Books Love Series: Dark Fairy Tale,117,322
Kurata Tetsuo,Terasoma Masaki,Japan,"Oct 23, 1988 - Sep 24, 1989",47,Tokusatsu,TBS,7.4,0,,Kamen Rider Black RX,111,341
Jiro Wang,Calvin Chen,Taiwan,"Nov 26, 2005 - Apr 15, 2006",21,"Action,  Friendship,  Comedy,  Romance,  Fantasy",GTV,7.3,4,"Surreal Humor, Calm Second Male Lead, Hot-tempered Male Lead, Secret Organization, Street Fight, High School, Special Power, Superhuman Strength, Student, Female Chases Male First",KO One,793,2101
Choi Ji Woo,Lee Seung Yeon,South Korea,"Sep  7, 1996 - Apr 20, 1997",66,Romance,KBS2,7.4,0,"Rich Woman/Poor Man, First Love, Love Triangle",First Love,56,265
Ishizuka Hidehiko,Nakamura Shunsuke,Japan,"Apr 25, 2013 - Jun 13, 2013",8,"Comedy,  Detective",TV Asahi,7.5,0,,Keiji 110 Kilo,39,123
Ming Dao,Luo Jin,China,"Dec  2, 2012 - Jan  2, 2013",32,"Historical,  Romance,  War,  Tragedy",Hunan TV,7.3,3,"Emperor Gaozu Of Han, Chu-Han Contention, Qin Dynasty",Beauties of the Emperor,169,603
Takenouchi Yutaka,Ogata Ken,Japan,"Jan  8, 2004 - Sep  9, 2004",10,"Suspense,  Mystery",Fuji TV,7.6,0,,Ningen no Shomei,27,83
Yeon Jung Hoon,Kim Tae Hee,South Korea,"Oct 27, 2003 - Apr 29, 2004",121,Family,SBS,7.9,0,,A Problem At My Younger Brother’s House,14,133
Jooy Warattaya Nilkuha,Tono Pakin Kumwilaisuk,Thailand,"Jan  2, 2013 - Feb  7, 2013",12,"Romance,  Drama",Channel 5,7.9,0,,Buang Wan Wan,13,88
Lim Young Ju,,South Korea,"May 31, 2020 - Jul  5, 2020",6,"Comedy,  Romance",,7.9,0,"Miniseries, Web Series",A Ticket to India,12,26
Hsin Tien,Christopher Lee,Taiwan,"Jun 28, 2013 - Oct  4, 2013",15,"Romance,  Life,  Drama,  Mature",TTV,7.4,1,"Married Couple, Jealousy, Miscarriage, Infidelity, Divorce, Life Lesson, Love Triangle",A Good Wife,113,359
Golf Pichaya Nitipaisalkul,Ying Thanijachinya Thananchaiyakarn,Thailand,"May  5, 2016 - Aug 11, 2016",26,"Comedy,  Romance,  Fantasy",,7.4,1,"Past Connection, Strong Female Characters, True Love, Soulmates, Angel, Multiple Couples, Sibling Relationship, Aggressive Female Lead, Female Centered Plot, Multiple Mains",Angel Destiny,96,486
Kiriyama Renn,Ohtsuka Nene,Japan,"Jan 20, 2011 - Mar 10, 2011",8,"Mystery,  Investigation",TV Asahi,7.4,0,"Psychology, Criminal Profiler, Detective, Crime",Honboshi - Shinri Tokuso Jikenbo,99,313
Iwanaga Hiroaki,Wada Keiichi,Japan,"Apr  5, 2008 - Mar 28, 2009",51,Tokusatsu,TV Tokyo,7.6,0,,Tomica Hero: Rescue Force,22,99
Bosco Wong,Gloria Tang,Hong Kong,"Jun  2, 2014 - Jul 11, 2014",30,"Action,  Thriller,  Crime,  Drama",TVB Jade ,7.4,1,"Open Relationship, Romance",The Ultimate Addiction,146,338
Julian Cheung,David Chiang,Hong Kong,"Apr 19, 1993 - May 14, 1993",20,Wuxia,TVB Jade ,8.1,1,,The Mystery of the Condor Hero,9,25
Jennifer Ding,Huang You Qi,China,"Mar 22, 2017 - Apr 26, 2017",12,"Romance,  Drama","Tencent Video, iQiyi, iQiyi",8.1,0,,Love Online 2,9,68
Wu Nien Hsuan,Snowbaby,Taiwan,"Jul 17, 2020 - Jul 31, 2020",4,"Friendship,  School,  Youth,  Sports",,8.1,0,"Genetic Disorder, Heart Disease, Basketball, Dream, Friendship",Fly the jumper,8,85
Ken Chu,Sophia Hu,China,"Dec  7, 2007 - Jan 25, 2007",43,"Historical,  Wuxia",CCTV,8.1,0,"Gu Long, Adapted From A Novel",The Legend of Chu Liu Xiang,9,43
Im Ho,Park Geun Hyung,South Korea,"Apr 15, 1998 - Aug 13, 1998",34,,MBC,8.1,0,,King Of The Wind,9,57
Sawaguchi Yasuko,Kobayashi Nenji,Japan,"Oct 19, 2000 - Dec 14, 2000",9,"Medical,  Investigation",TV Asahi,8.1,0,,Kasouken no Onna Season 2,8,37
Yonekura Ryoko,Ichikawa Ebizo,Japan,"Jan  5, 2003 - Dec  7, 2003",49,,NHK,7.5,0,"NEWS(Band), Yoshikawa Eiji, Taiga, Adapted From A Novel, Idol Actor",Musashi,35,189
Yoo Ho Jung,Lee Ki Woo,South Korea,"Jul 29, 2006 - Sep 24, 2006",18,Romance,MBC,7.4,1,Older Woman/Younger Man,Rude Women,112,403
Kamikawa Takaya,Tomosaka Rie,Japan,"Apr 13, 2000 - Jun 30, 2000",12,"Life,  Drama,  Melodrama",TBS,7.6,0,,Kimi ga Oshiete Kureta Koto,20,99
Peter Denman,Aom Sushar Manaying,Thailand,"Nov 23, 2018 - Dec 14, 2018",10,"Comedy,  Romance,  Drama",Channel 3,7.6,0,"Single Parent, Friends To Lovers, Love Square, Adapted From A Novel",Ruk Plik Lok,23,380
Bosco Wong,Priscilla Wong,Hong Kong,"Oct 24, 2016 - Dec  9, 2016",35,,TVB Jade ,7.4,0,,Two Steps from Heaven,74,190
Saiparn Apinya Sakuljaroensuk,Typhoon Kanokchat Munyadon,Thailand,"Feb 14, 2019 - May  9, 2019",13,"Romance,  Drama",GMM 25,7.4,1,"Trauma, Father-Daughter Relationship, Male Chases Female First, Dissociative Identity Disorder, Tragic Past, Murder, Nice Male Lead, Blunt Woman, Mental Health, Friendship",Bangkok Love Stories: Objects of Affection,83,288
God Itthipat Thanit,Richie Omrawadee,Thailand,"Jan 10, 2020 - Feb 15, 2020",17,"Romance,  Drama",Channel 3,7.4,2,"LGBTQ+, Plastic Surgery, Rape, Twins, Cross-Dressing, Gay Character, Love Triangle, Tragedy",Sorn Ngao Ruk,71,469
Michael Miu,Yeung Barbara ,Hong Kong,"Mar  5, 1984 - Mar 30, 1984",20,"Historical,  Wuxia,  Martial Arts,  Supernatural",TVB Jade ,8.6,0,Historical Fiction,The Fearless Duo,5,11
Tsugawa  Masahiko,Nishida Toshiyuki,Japan,"Jan  9, 2000 - Dec 17, 2000",49,Historical,NHK,8.6,0,"Taiga, Edo Period, Sengoku Period",Aoi Tokugawa Sandai,6,58
Amber An,Edison Song,Taiwan,"Feb  8, 2020 - May 16, 2020",15,"Romance,  Drama,  Fantasy","TVBS, iQiyi, iQiyi",7.4,0,"Hidden Identity, God, Supernatural, Fate, Jealousy, Lawyer, Superhuman Strength, Interspecies Romance, Cohabitation, Ghost-seeing Male Lead",Moonlight Romance,54,498
Kang Tae Oh,Nha Phuong,South Korea,"Nov  3, 2016 - Mar 22, 2017",38,,,7.7,0,,Forever Young 2,17,175
Fu Da Long,Yu En Tai,China,"Sep  5, 2012 - Oct 10, 2013",51,Historical,CCTV,7.7,1,,The Qin Empire 2,19,79
Mai Warit Sirisantana,Natalie Panalee Varunwongse,Thailand,"Nov  1, 2017 - Dec 26, 2017",40,"Romance,  Drama",Channel 3,7.3,3,"Farm Life, Abusive Male Lead, Corruption, Slap And Kiss, Kidnapping, Revenge, Unrequited Love, Love Triangle",Rak Rai,408,1018
Yong Jun Hyung,Ha Yeon Soo,South Korea,"May 17, 2013 - Aug  2, 2013",12,"Music,  Romance,  School,  Youth",Mnet,7.3,33,"High School, Idol, Love Triangle, Idol Actor, Transfer Student, School Bullying",Monstar,9692,19335
Eric Mun,Jung Yoo Mi,South Korea,"Mar 17, 2007 - May 13, 2007",17,"Romance,  Drama,  Melodrama",MBC,7.3,25,"Female Chases Male First, Steamy Kiss, Naive Female Lead, Contract Relationship, Aggressive Male Lead, Jealousy, Multiple Couples, Possessive Male Lead, Nice Female Lead, Office Romance","Que Sera, Sera",2304,5215
Nicky Wu,Athena Chu,China,"Jun 10, 2002 - 2002",40,"Romance,  Martial Arts",BTV,7.5,0,Historical Fiction,Treasure Raiders,27,68
Raymond Lam,Charmaine Sheh,Hong Kong,"Jan  5, 2006 - Feb 25, 2006",40,"Action,  Historical,  Wuxia,  Martial Arts",TVB Jade ,7.4,0,,Lethal Weapons of Love and Passion,164,331
Baifern Pimchanok Luevisadpaibul,March Chutavuth Pattarakhumphol,Thailand,"May 13, 2017 - Aug  5, 2017",13,"Romance,  School,  Youth,  Drama",GMM One,7.3,5,"Dance Competition, Wrestling, Dance, Gay Relationship, Gay Character, Friendship, LGBTQ+",Slam Dance,987,2590
Bosco Wong,Michael Miu,Hong Kong,"Jun  3, 2013 - Jul 12, 2013",30,"Romance,  Drama",TVB Jade ,7.3,1,,A Change of Heart,189,419
Mew Lalita Panyopas,Mam Jintara Sukapat,Thailand,"Jul  2, 2013 - Aug 20, 2013",15,"Historical,  Horror,  Romance,  Drama,  Family",Channel 3,7.4,1,"Brother And Sister, Separation At Birth, Multi-Generational, Infidelity, Hate To Love, Cold Man/Warm Woman, Twins, Multiple Couples, Ghost, Historical Fiction",Kaen Sanaeha,85,195
Jang Dong Gun,Son Ji Chang,South Korea,"Jan  3, 1994 - Feb 22, 1994",16,"Romance,  School,  Sports",MBC,7.5,0,"Friends To Enemies, College Life",The Final Match,39,151
Ploy Laila Boonyasak,Por Tridsadee Sahawong,Thailand,"Jun  4, 2007 - Aug  7, 2007",20,"Comedy,  Romance,  Drama",Channel 3,7.5,0,,Rak Leh Saneh Luang,38,157
Onoe Matsuya,Ishikawa Ren,Japan,"Jul  7, 2017",12,"Food,  Comedy,  Life",Netflix,7.3,2,"Office Worker, Adapted From A Manga",Saboriman Kantarou,285,597
Bobby Dou,Eva Huang,China,"Feb  1, 2007 - Feb 27, 2007",30,"Historical,  Wuxia",CCTV,7.4,1,"Jin Yong, Ming Dynasty, Cross-Dressing, Martial Arts, Romance",Sword Stained With Royal Blood ,63,184
Chun Jung Myung,Go Hyun Jung,South Korea,"Sep 20, 2006 - Nov  9, 2006",16,"Comedy,  Romance,  Life",MBC,7.3,11,"Secondary Couple, Lovers Separated, One-night Stand, Older Woman/Younger Man, Family Pressure, Obsession, Childhood Friends, Age Gap, Love Triangle","What's Up, Fox?",2211,4496
Han Go Eun,Jo  Min Ki,South Korea,"Feb  4, 2006 - Nov 12, 2006",80,,SBS,7.8,0,,Love and Ambition,13,66
Benny Chan,Leni Lan,China,"Feb 23, 2011 - Mar 12, 2011",50,"Historical,  Romance,  Wuxia",Anhui TV,7.8,0,,Love of Seven Fairy Maidens,13,76
Weir Sukollawat Kanarot,Pancake Khemanit Jamikorn,Thailand,"Jun 20, 2008 - Jul 27, 2008",18,"Comedy,  Romance,  Drama",Channel 7,7.8,0,,Khun Noo Taewada,13,42
Tanaka Naoki,Mitsuya Yoko,Japan,"Jan 15, 2009 - Mar 26, 2009",14,"Drama,  Fantasy",NTV,7.8,0,,Reset,14,128
Owodog Zhuang,Chloe Zhao,China,"Jan 16, 2017 - Feb 13, 2017",36,"Romance,  Sci-Fi,  Fantasy,  Supernatural",Youku,7.8,0,Adapted From A Web Novel,The Visioner,15,451
Pong Nawat Kulrattanarak,Nune Woranuch Bhirombhakdi,Thailand,"Feb 25, 2011 - Apr  9, 2011",20,"Romance,  Drama",Channel 7,7.3,3,"Marriage Of Convenience, Weak Female Lead, Fake Kisses, Fake Marriage, Possessive Male Lead, Poor Female Lead, Pretend Relationship, Obsessive Second Lead, Aggressive Male Lead, Mean Male Lead",Kha Khong Khon,212,471
Sugi Kinya,Kobayashi Asao,Japan,"Feb  7, 1981 - Jan 30, 1982",50,Tokusatsu,TV Asahi,7.5,0,,Taiyo Sentai Sun Vulcan,41,182
Kitaoji Kinya,Izumiya Shigeru,Japan,"Jan 17, 2014 - Mar 14, 2014",8,"Friendship,  Comedy,  Family",TV Tokyo,7.5,0,"Arikawa Hiro, Adapted From A Novel",Sanbiki no Ossan,36,95
Amami Yuki,Shiina Kippei ,Japan,"Jan 11, 2020 - Mar 14, 2020",10,Medical,NTV,7.5,0,"Abandoning Family, Neurosurgery, Koji Hayashi, Guilt, Neurosurgeon, Doctor, Hospital, Genius, Adapted From A Novel",Top Knife: Tensai Nougekai no Joken,53,172
Kamikawa Takaya,Domoto Tsuyoshi,Japan,"Jul  3, 1998 - Sep 11, 1998",11,"Friendship,  Mystery,  Romance,  Crime,  Youth",TBS,7.4,1,"Kinki Kids, Idol Actor",Ao no Jidai,59,220
Allen Ren,Adi Kan,China,"Aug 21, 2017 - Nov  1, 2017",66,"Action,  Suspense,  Adventure,  Historical,  Detective",Tencent Video,7.5,0,"Di Renjie, Emperor Wu Zetian, Gobi Desert, Tang Dynasty, Crime Solving",Detective Dee,54,570
Guo Jing Fei,Vivi Miao,China,"Apr  6, 2020 - Apr 21, 2020",12,"Friendship,  Romance,  Life,  Drama","Tencent Video, iQiyi, iQiyi",7.6,1,"Yu Geng, Hardship, Illness, Terminal Illness, Web Series, Cancer, Adapted From A Novel",If There Is No Tomorrow,28,128
Bernice Tsai,David  Lin ,Taiwan,"Jul  3, 2010 - Oct  3, 2010",13,"School,  Drama,  Fantasy",PTS,8.0,0,,The M Riders,10,112
Mew Lalita Panyopas,Tua Sarunyu Wongkrajang,Thailand,"Jul 10, 1991 - Dec 11, 1991",23,"Romance,  Drama",Channel 3,8.0,0,,Wanida,11,23
Pavadee Komchokpaisan,March Chutavuth Pattarakhumphol,Thailand,"Jul 25, 2015 - Oct 17, 2015",13,Comedy,GMM 25,8.0,0,,Malee: The Series,10,60
Odagiri Joe,Aso Kumiko,Japan,"Oct 11, 2019 - Dec  6, 2019",8,"Mystery,  Comedy",TV Asahi,8.0,0,,Jikou Keisatsu Hajimemashita,10,171
Kim Byung Man,Oh Cho Hee,South Korea,"Jul 15, 2013 - Sep  9, 2013",10,"Comedy,  Sitcom",jTBC,7.4,0,"SHINee, Idol Actor",Welcome to Royal Villa,115,917
Owen Cheung,Matt Yeung,Hong Kong,"Mar 30, 2020 - May  1, 2020",25,"Action,  Drama",TVB Jade ,7.4,5,"Slight Romance, Police Officer, Airport, Police",Airport Strikers,100,223
Amami Yuki,Sawamura Ikki,Japan,"Oct  7, 2015 - Dec  9, 2015",10,"Comedy,  Romance",NTV,7.3,2,,Fake Couple,298,791
Lee Won Keun,Song Ji Eun,South Korea,"Oct 30, 2014 - Nov 12, 2014",4,"Friendship,  Comedy,  Romance",Naver TV Cast,7.3,5,"Male Chases Female First, Web Series, Childhood Friends, Friends To Lovers, Unrequited Love, First Love, Animal, Equinophobia, Love Triangle","Drawing, Spring",983,2290
Victoria Song,Peter Ho,China,"Dec 21, 2015 - Jan 12, 2016",39,"Romance,  Drama",Hunan TV,7.3,4,"Mother-Daughter Relationship, Family Secret, Lost Child, Rich Male Lead",Beautiful Secret,726,1894
Im Yoon Ah,Lee Bum Soo,South Korea,"Dec  9, 2013 - Feb  4, 2014",17,"Comedy,  Romance,  Drama,  Family",KBS2,7.3,27,"Prime Minister, Contract Relationship, Single Father, Single Parent, Journalism, Age Gap, Older Man/Younger Woman, Marriage, Widower, Death Of A Parent",Prime Minister and I,7332,13822
Richie Ren,Gigi Lai,Taiwan,"Aug 22, 2001 - Oct 17, 2001",40,"Action,  Adventure,  Romance,  Wuxia",CTS,7.4,0,,The New Adventures of Chor Lau Heung,60,107
Gun Napat Injaieua,Marie Broenner,Thailand,"May 16, 2019 - Jul  4, 2019",29,"Music,  Historical,  Romance,  Drama",GMM One,8.2,2,Forbidden Love,Luk Krung,8,73
Leon Li,Jason Fu,China,"Oct 30, 2017 - Dec  1, 2017",25,"Historical,  Comedy,  Law",Tencent Video,8.2,0,,Kai Feng Qi Tan,7,147
Kim Ji Min,Yoon Chan Young,South Korea,"Feb  7, 2014 - May 23, 2014",16,"Mystery,  School,  Youth,  Investigation",EBS,8.2,0,,Pluto Squad,8,284
Kwak Ji Min,Im Sung Eon,South Korea,"Aug 30, 2006 - Jan 11, 2007",38,"Comedy,  Life,  School,  Youth",,8.2,0,,Dasepo Naughty Girls,7,109
Louis Cheung,Myolie  Wu ,Hong Kong,"Mar  8, 2018 - Apr 18, 2018",12,"Psychological,  Comedy,  Life,  Drama,  Mature",,8.2,1,"Sexual Slave, Multiple Storyline, Workplace Bullying, Fraud, Self-harm, One-night Stand, Sexual Content, Cheating, Murder, Unhealthy Relationship",Hong Kong West Side Stories,9,29
Maeda Atsuko,Nachu,Japan,"Jan  9, 2010 - Mar 27, 2010",12,"Action,  Friendship,  School,  Drama",TV Tokyo,7.3,4,"Delinquent School, All-Girls School, AKB48, Delinquent, Street Fight, Death, High School, Yankees, Blood, Competition",Majisuka Gakuen,1160,2354
Jiro Wang,Lorene Jen,Taiwan,"Mar 23, 2015 - Jun 12, 2015",28,"Action,  Thriller,  Romance,  Drama,  Martial Arts,  Sci-Fi,  Fantasy,  Supernatural,  Detective",Tencent Video,7.3,4,Time Travel,The Crossing Hero,294,1214
Thanwa Suriyajak,Pupe Kessarin Noiphueng,Thailand,"Nov 26, 2018 - Jan 14, 2019",15,"Comedy,  Romance,  Drama,  Fantasy",Channel 7,7.5,0,"Real Kisses, Adapted From A Novel",Khun Noo Ruen Lek,39,232
Uchino Seiyou,Matsushita Yuki,Japan,"Apr 15, 2009 - Jun 24, 2009",10,"Mystery,  Crime",TV Asahi,7.5,0,,Rinjo,38,79
Kato Kazuki,Uehara Takuya,Japan,"Jan 21, 2012 - Apr 24, 2012",9,"Suspense,  Mystery,  Psychological,  Drama,  Sci-Fi",TV Asahi,7.3,5,"Sweet Male Lead, Miniseries, Brothers, Sibling, Bromance",Fallen Angel,284,978
Park Sun Ho,Kim So Hye,South Korea,"Jan  2, 2019 - Feb  7, 2019",12,"Food,  Business,  Comedy,  Romance,  Drama","MBN, DramaX, Viki",7.3,7,"Absent Father, Hardworking Lead, Introvert, Grandpa-Granddaughter Relationship, Webtoon Artist, Struggle, Secret Crush, Best Friends, Restaurant, Dream",Best Chicken,913,2567
Tony Hung,Eliza Sam,Hong Kong,"Nov 30, 2015 - Dec 27, 2015",25,"Romance,  Medical",TVB Jade ,7.4,0,,Angel In-the-Making,89,182
Kenny Lin,Im Yoon Ah,China,"Apr  3, 2016 - Apr 30, 2016",60,"Action,  Historical,  Romance,  War",Hunan TV,7.3,3,"Three Kingdoms, Adapted From A Novel",Chinese Hero Zhao Zi Long,332,1385
Peng Yu Chang,Sun Xue Ning,China,"Dec 22, 2017 - Jan 26, 2018",17,"Action,  Supernatural",Sohu TV,7.8,1,,Weapon & Soul: Season 2,15,97
Lee Tae Hwan,Yoon Bo Mi,South Korea,"Dec 15, 2019 - Dec 23, 2019",4,"Friendship,  Romance,  School,  Youth",SBS,7.5,1,"Apink, Agriculture, Farm Life, Student, College Life, Love–Hate Relationship, First Love, Idol Actor",Farming Academy Season 2,34,205
Yu Yi,Yue Li Na,China,"Sep  5, 2018 - Oct 15, 2018",76,"Historical,  Romance,  Drama,  Family","BTV, JSTV",9.0,0,Chinese Republican Era,Mother's Life,5,98
Rulu Jiang,Tong Da Wei,China,"Oct 24, 2019 - Nov 17, 2019",46,"Historical,  Drama","Dragon TV, Tencent Video, ZJTV, iQiyi, iQiyi",9.0,1,,The Galloped Era,4,37
Marian Rivera,Mark Anthony Fernandez,Philippines,"Aug 10, 2009 - Feb 19, 2010",140,"Action,  Drama,  Sci-Fi,  Fantasy,  Melodrama,  Supernatural",,7.6,0,"Mars Ravelo, Superhero, Fantasy World, Teacher, Adapted From A Comic, Orphanage, Strong Female Lead, Fantasy",Darna,24,42
Go Won Hee,Lee Ha Yul,South Korea,"Aug 31, 2015 - Feb 26, 2016",128,"Historical,  Romance,  Drama,  Family,  Melodrama",KBS2,7.5,0,,TV Novel: The Stars Are Shining,45,316
Mizushima Hiro,Eikura Nana,Japan,"Jan 13, 2009 - Mar 17, 2009",10,"Comedy,  Romance,  School,  Youth",Fuji TV,7.3,18,"Butler, Adapted From A Manga, All-Girls School, High School, Princess, Older Man/Younger Man, Master-Servant Relationship, Damsel In Distress, Family Pressure, School Rivalry",Mei-chan no Shitsuji,7923,12825
Kim Min Seo,Lee Jae Seok,South Korea,"May 21, 2019 - Jul  5, 2019",14,"Friendship,  Romance,  School,  Drama",,7.4,1,"Cold Male Lead, Calm Female Lead, Multiple Mains, Smart Male Lead, Miniseries, Friends To Lovers, Web Series, Multiple Couples, Smart Female Lead, Idol Actor",Anniversary Anyway,87,377
Xyriel Manabat,Jodi Sta. Maria,Philippines,"May  9, 2011 - Nov 18, 2011",140,"Comedy,  Drama,  Fantasy",ABS-CBN,7.9,0,,100 Days to Heaven,12,44
Eva Huang,Yang Zi,China,"Nov 28, 2007 - Dec 10, 2007",36,"Historical,  Romance,  Fantasy",CCTV,7.9,0,"Fairy, Interspecies Romance",Fairy Couple,13,77
Katsumura Masanobu,Ryo,Japan,"Sep 15, 2018 - Sep 29, 2018",6,Medical,TV Asahi,7.9,0,,Doctor Y 3 - Gekai Kaji Hideki,12,41
Kamikawa Takaya,Kuriyama Chiaki,Japan,"Jul 12, 2018 - Sep 13, 2018",9,"Mystery,  Drama,  Detective,  Investigation",TV Asahi,7.9,0,,Iryu Sousa 5,12,42
Yoon Sang Hyun,Kim Jung Min,South Korea,"Jul 21, 2008 - Oct  3, 2008",40,"Adventure,  Friendship,  Romance,  Drama,  Sitcom",MBC,7.9,0,,Keu Keu Island's Secret,12,268
Yoo Tae Woong,Hwang Soo Jung,South Korea,"Dec 17, 1997 - Jan  8, 1998",8,Drama,SBS,7.9,0,,White Christmas,14,137
Yonekura Ryoko,Nakamura Toru,Japan,"Oct 15, 2004 - Dec  9, 2004",7,Romance,TV Asahi,7.9,1,Adapted From A Novel,Kurokawa no Techo,12,75
Fujigaya Taisuke,Kurashina Kana ,Japan,"Apr  6, 2019 - May 25, 2019",8,"Suspense,  Crime,  Detective,  Investigation","Fuji TV, Tokai TV",7.4,0,"Kis-My-Ft2, Sexual Content, Sex Scene, Revenge, Tragic Past, Twins, Police, Idol Actor",Mirror Twins,107,566
Saito Takumi,Osugi Ren,Japan,"Apr  5, 2012 - Jun 21, 2012",11,Action,MBS,7.7,0,Adapted From Video Game,Kurohyou 2: Ryu ga Gotoku Ashura Hen,17,72
Sarah Zhao,Angel Liu,China,"Jun 30, 2016 - Jul 21, 2016",45,Drama,,7.4,1,"Chinese Republican Era, Birth Secret, Switched At Birth",Switch of Fate,73,265
Oom Eisaya Hosuwan,Pop Thagoon Karnthip,Thailand,"Sep 18, 2017 - Oct 10, 2017",17,"Comedy,  Romance,  Drama,  Fantasy",Channel 3,7.4,2,Fantasy World,Tieng Narng Mai,61,244
Kevin Cheng,Bosco Wong,Hong Kong,"Feb 20, 2006 - Mar 17, 2006",20,"Romance,  Drama",TVB Jade ,7.4,0,,Under The Canopy of Love,212,429
